Module Number,Image,Attribution/Reference/Copyright,Link to image,License / Copyright Status
Module 6,Colonist speaks to Indian farmer,"An English farmer in Canada and a visit to the States by Herbert Grange, Glasgow: Blackie & Sons, 1904. (p.75) is licensed under Public Domain",https://archive.org/details/englishfarmerinc00gran,Copyright: Public Domain
Module 6,Aboriginal with Ox Cart,John Woodruff' Prince Edward Island and Nova Scotia/ Library and Archives Canada,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-03-11T20%3A27%3A42Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3642700&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 6,Cecil John Crowfoot ,Rosemary Gilliat Eaton / Library and Archives Canada / e010975124,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-01T21%3A58%3A35Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=4323768&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng#,"Copyright: Copyright has been assigned to Library and Archives Canada by the copyright holder, the Estate of Rosemary Gilliat"
Module 6,"A Cree woman ""casing"" an otter at home in Moose Factory Island, James Bay","Bud Glunz, National Film Board of Canada/ Still Photography Division/ Library and Archives Canada/ e010966839",http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-03-11T20%3A43%3A12Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=4310103&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 6,Bell Canada 1902,Bell System/ Wikimedia Commons/ Public Domain ,https://commons.wikimedia.org/wiki/File:BellCanada1902.png,https://creativecommons.org/publicdomain/mark/1.0/
Module 6,151 Front Street Historical ,BrianJGraham/ Wikimedia Commons/ CC0 1.0,https://commons.wikimedia.org/wiki/File:151FrontStreetHistorical.jpg,https://creativecommons.org/publicdomain/zero/1.0/deed.en
Module 6,Sketch CPR train across Fraser River,"West Shore, 1885 (popular newspaper/entertainment pamphlet, 1885) Washington State Library/ Public Domain",http://wsldocs.sos.wa.gov/library/docs/HistoricalPublications/WestShore/1885/SL_WestShore_1885_December.pdf#page=31#,https://creativecommons.org/publicdomain/mark/1.0/
Module 6,"W.R. Cargill, independent fur trader, grades the catch of a Cree trapper from the James Bay district","Bud Glunz, National Film Board of Canada. Still Photography Division, Library and Archives Canada",http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-02T00%3A03%3A41Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=4310108&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 6,"Revillon Frères, Rue de Rivoli, Paris",Kürschner/ Wikimedia Commons/ Public Domain,"https://commons.wikimedia.org/wiki/File:Revillon_Fr%C3%A8res,_Rue_de_Rivoli,_Paris.jpg",https://creativecommons.org/publicdomain/mark/1.0/
Module 6,Chipewyan Indians at Brochet showing fur catch,C.S. MacDonald/ Library and Archives Canada/ PA-019679,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-01T23%3A59%3A28Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3192308&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 6,Northern Traders,"Departmental library albums, Library and Archives Canada",http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-03-11T22%3A27%3A21Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=204945&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 6,Inuit carrying bales of fox fur from the Hudson's Bay Company warehouse for loading aboard R.M.S. NASCOPIE,George Hunter / National Film Board of Canada. Photothèque / Library and Archives Canada / PA-166459,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-01T23%3A40%3A43Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3227592&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 6,Dogrib Indians dance in honour of Fur Trade commissioner's visit,Charles A. Keefer / Library and Archives Canada / PA-073996,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-01T23%3A09%3A24Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3210752&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 6,"Steamer ""Distributor""","Department of Indian and Northern Affairs Canada / Library and Archives Canada, Accession 1974-366",http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2017-03-12T23%3A39%3A10Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=4877092&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 6,Image from page 144 of “Fur-farming in Canada” (1914) ,Internet Archive Book Images Follow/ Flickr/ Public Domain,https://flic.kr/p/od8KuT,Copyright: Public Domain
Module 6,Mounties After Johnson,Royal Canadian Mounted Police/Wikimedia Commons/ Public Domain,https://commons.wikimedia.org/wiki/File:MountiesAfterJohnson.jpg,https://creativecommons.org/publicdomain/mark/1.0/
Module 6,Constable Van Blarcom tagging fox at Moose Factory,"S.J. Bailey, Indian and Northern Affairs. Departmental library albums/ Library and Archives Canada/ PA-093115",http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-01T23%3A52%3A24Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3379480&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 6,"Diagrams from page 184 of """"Fur-farming in Canada"""" (1914)","Canada. Commission of Conservation. Committee on Fisheries, Game and Fur-bearing Animals; Jones, J. Walter/ Public Domain",https://archive.org/stream/furfarmingincana00cana/furfarmingincana00cana#page/n181/mode/1up,https://creativecommons.org/publicdomain/mark/1.0/
Module 6,Chinook Salmon,Pacific Southwest Region USFWS/ Flickr/ CC BY 2.0 ,https://flic.kr/p/9jdtxo,https://creativecommons.org/licenses/by/2.0/
Module 6,Indian women [First Nations] canning of crabs,Dept. of Manpower and Immigration/ Library and Archives Canada,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-03-11T21%3A51%3A27Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=4370252&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 6,Jimmy Sewid and other fishermen from 'Namgis First Nation pulling in a fishing net,Dept. of Manpower and Immigration/ Library and Archives Canada/ e011051640,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-03-11T21%3A18%3A03Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=4370272&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 6,Salmon,Ethan Ableman/Flickr/ CC BY 2.0,https://flic.kr/p/9RZNmK,https://creativecommons.org/licenses/by/2.0/
Module 6,Hauling in the seines - B.C. Salmon Fisheries,"Salmon Fisheries Albertype Company, Albertype Company fonds, Library and Archives Canada/ PA-031646",http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-03-21T19%3A22%3A47Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3334833&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 6,Native Fish Traps,Department of the Interior photographic records (Ontario)/ Library and Archives Canada/ PA-043316,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-05T21%3A02%3A47Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3367090&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng#,Copyright: Expired
Module 6,Hydro-Quebec Power line ,abdallahh/Flickr/ CC BY 2.0 ,https://flic.kr/p/4cgYnM,https://creativecommons.org/licenses/by/2.0/
Module 6,Innus; map of Innu communities ,Jeangagnon/Wikipedia/ Public Domain ,https://en.wikipedia.org/wiki/File:Innus.png,https://creativecommons.org/publicdomain/mark/1.0/
Module 6,James Bay Project ,JosephB~/ Wikimedia Commons/ Public Domain,https://en.wikipedia.org/wiki/File:JamesBayProject.PNG,https://creativecommons.org/publicdomain/mark/1.0/
Module 6,Robert-Bourassa Reservoir ,NASA WorldWind/Wikimedia Commons/ Public Domain ,https://commons.wikimedia.org/wiki/File:Robert-Bourassa_Reservoir.jpg,https://creativecommons.org/publicdomain/mark/1.0/
Module 6,Brisay Hydroelectric Power Station ,Axel Drainville/Flickr/ CC BY 2.0 ,https://flic.kr/p/8ukFVY,https://creativecommons.org/licenses/by/2.0/
Module 6,Jericho Diamond Mine pit Nunavut Canada,TomChurchill/Wikipedia/ Public Domain ,https://en.wikipedia.org/wiki/Jericho_Diamond_Mine#/media/File:Jericho_Diamond_Mine_pit_Nunavut_Canada.jpg,https://creativecommons.org/publicdomain/mark/1.0/
Module 6,Cree women and children working as farm labourers on a sugar beet farm.,John Woodruff/ Library and Archives Canada/ C-007819,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-03T21%3A45%3A51Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3560184&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 6,Unidentified Blackfoot woman with hide-scraping tools - Alberta,Provincial Archives of Alberta/Wikimedia Commons/ No Known Copyright Restrictions ,https://commons.wikimedia.org/wiki/File:Unidentified_Blackfoot_woman_with_hide-scraping_tools_-_Alberta_(18491436192).jpg,No Known Copyright Restrictions 
Module 6,Fort Resolution Residential School ,Canada. Dept. of Mines and Technical Surveys / Library and Archives Canada / PA-023095,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-03T21%3A44%3A50Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3381193&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 6,Indian ploughing on Reserve,"Dept. of the Interior, Library and Archives Canada/PA-048475",http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-03-21T21%3A01%3A15Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3192744&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 6,"Stampede de Calgary, Alberta","Ronny Jaques/ Ronny Jaques fonds, Library and Archives Canada/ R3133-1579-4-F",http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-03T21%3A46%3A57Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=4328978&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 6,"Stampede de Calgary, Alberta","Ronny Jaques/ Ronny Jaques fonds, Library and Archives Canada/ R3133-1581-2-F",http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-03T21%3A46%3A23Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=4328980&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 6,Chief Duck of the Blackfoot tribe,"Jack Long, National Film Board of Canada/ Still Photography Division, Library and Archives Canada/ PA 188605",http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-03T21%3A47%3A26Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3513378&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 6,Tommy Prince,"Christopher J. Woods, Army [Numerical]/ Library and Archives Canada/ PA-142289",http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-06-07T21%3A54%3A44Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3191550&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 6,Lieutenant F.O. Loft.,Canada. Dept. of National Defence/ Library and Archives Canada / PA-007439,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-02-02T22%3A59%3A33Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3629837&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 6,Members of File Hills Indian Colony, Library and Archives Canada/PA-066815,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-03-11T21%3A36%3A34Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3403445&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng ,Copyright: Expired
Module 6,Deskaheh photo,The Graphic uploaded by Sharp-shinned.hawk/Wikimedia Commons/ Public Domain,https://commons.wikimedia.org/wiki/File:Deskaheh_photo.JPG,https://creativecommons.org/publicdomain/mark/1.0/
Module 6,Group of First Nation women and children ,"Edwin C. Kemp/ Edwin C Kemp fonds [graphic material], Library and Archives Canada/ e002852762",http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-03-11T22%3A38%3A03Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3612611&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 6,Old House ,Bruce Guenter/ Flickr/ CC BY 2.0 ,https://flic.kr/p/jQRqpp,https://creativecommons.org/licenses/by/2.0/
Module 6,Group of Indian women,"William James Topley, Topley Series TXB, Library and Archives Canada/ PA-012799",http://collectionscanada.gc.ca/pam_archives/index.php?fuseaction=genitem.displayItem&rec_nbr=3228329&lang=eng,Copyright: Expired
Module 6,"Mrs. Clarke & Indian women of Auxiliary, Norman, N.W.T.","F. Clarke, Indian and Northern Affairs. Departmental Library Albums/ Library and Archives Canada/ 1974-366 NPC",http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-03T21%3A48%3A56Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3852247&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng  ,Copyright: Expired
Module 6,Brenda M painting,University of Alberta/ Brenda Morency ,No link to image,Copyright: Brenda Morency 
Module 6,Aboriginal woman carrying young boy on her back next to a body of water,Library and Archives Canada/Department of Health fonds/e010968977/ The Crown,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-06-02T15%3A26%3A42Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=4322257&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng  Link to license: https://drive.google.com/drive/folders/0B7aw4-g-HC66VGFQM3luRlV3TVE,© Government of Canada. Reproduced with the permission of Library and Archives Canada (2016)
Module 6,Deux Autochtones debout à l'extérieur d'une maison de bois rond avec une jeune fille et deuxbébés dans des porte-bébé,Library and Archives Canada/Department of Health fonds/e010999134,http://collectionscanada.gc.ca/pam_archives/index.php?fuseaction=genitem.displayItem&rec_nbr=4322533&lang=eng,© Government of Canada. Reproduced with the permission of Library and Archives Canada (2016)
Module 6,Nurse Edith Green,Canada. Dept. of Manpower and Immigration/ Library and Archives Canada/ 1972-047 NPC,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-06-02T15%3A57%3A52Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=4370274&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 6,"Two Aboriginal nursing students and a nurse examining a medical mannequin, Calgary, Alberta  ",Library and Archives Canada/ Rosemary Gilliat Eaton/Rosemary Gilliat Eaton fonds/e010975206,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-01T22%3A25%3A38Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=4323851&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,© Library and Archives Canada. Reproduced with the permission of Library and Archives Canada.
Module 6,"""Delphine Arcand, Laboratory Technician & Aide at Camsell Hospital, Edmonton""",Library and Archives Canada/Credit: Rosemary Gilliat Eaton/Rosemary Gilliat Eaton fonds/e011161205,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-04T15%3A48%3A32Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=4821541&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,© Library and Archives Canada. Reproduced with the permission of Library and Archives Canada.
Module 6,Aboriginal students from northern Alberta seated at a table. Edmonton. ,Library and Archives Canada/Credit: Rosemary Gilliat Eaton/Rosemary Gilliat Eaton fonds/e010975122,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-04T15%3A56%3A48Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=4323766&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng ,© Library and Archives Canada. Reproduced with the permission of Library and Archives Canada.
Module 6,Nurse teaching a group of Aboriginal women seated at tables during home nursing program,Library and Archives Canada/Department of Health fonds/e010969059,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-06-07T22%3A18%3A42Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=4322337&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng  ,© Government of Canada. Reproduced with the permission of Library and Archives Canada (2016)
Module 6,Great Bead Work,Tony Alter/Flickr/ CC BY 2.0 ,https://flic.kr/p/d3CGWU,https://creativecommons.org/licenses/by/2.0/
Module 4,060402 Maata Maiku teaches kids,"6497591 Elder teacher Maata Maiku, left, burns a small fire in a tent, while wearing her traditional Inuktitut clothing at the Nakasuk Elementary School in Iqaluit, Nunavut on Wednesday, April 1, 2009. THE CANADIAN PRESS/Nathan Denette",Link to Image is in U of A Google Drive ,Copyright: 5 years only The Canadian Press/Photographer
Module 6,"Groupe d'étudiants autochtones adultes prenant des notes en classe, Hobbema",Library and Archives Canada/Department of Health fonds/e010969090,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-09T03%3A07%3A46Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=4322785&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng#,© Government of Canada. Reproduced with the permission of Library and Archives Canada (2016)
,,,,
Module 7,"Copy of James N. Edy photograph of Chiefs of the Six Nations explaining their wampum belts, 1871","National Anthropological Archives, Smithsonian Institution/Photo Lot 86-58",http://siris-archives.si.edu/ipac20/ipac.jsp?uri=full=3100001~!1035!0&term=#,"Copyright: National Anthropological Archives, Smithsonian Instituition/ Photo Lot 86-58"
Module 7,Wampum belt commemorating the Iroquois confederacy,"Popular Science Monthl, Volume 28/Ineuw/ Wikimedia Commons/ Public Domain",https://commons.wikimedia.org/wiki/File:PSM_V28_D311_Wampum_belt_commemorating_the_iroquois_confederacy.jpg,https://creativecommons.org/publicdomain/mark/1.0/
Module 7,Wampum Belts,National Archives and Records Administration / 523577 ca. 1871 - ca. 1907/ Smithsonian Institution. Bureau of American Ethnology. 1897-1965 / public domain,https://catalog.archives.gov/id/523577,Copyright: Public Domain
Module 7,Wampum belts of the First Keepers of the Six Nations Indians,"Jas. M. Edy, Joseph Brant and Family Fonds, Library and Archives Canada/ PA-124105",http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-06-13T15%3A34%3A30Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3367331&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 7,Outward Bound Pictures 098,Patrick Bell/Flickr/  CC BY 2.0,https://flic.kr/p/yrMAZ,https://creativecommons.org/licenses/by/2.0/
Module 7,Nahanni River,Mangrove Mike/Flickr/ CC BY 2.0 ,https://flic.kr/p/4Gm9Ky,https://creativecommons.org/licenses/by/2.0/
Module 7,"Haida Indian Houses and Carved Posts, Cumshewa Indian Village","George M. Dawson/ Canada Dept. of Mines and Technical Surveys, Library and Archives Canada/ PA-037752",http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-04T16%3A56%3A41Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3193495&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 7,"Skedans Indian village. Haida tribe. Louise Island, Queen Charlotte Islands, B.C."," George M. Dawson/ Canada Dept. of Mines and Technical Surveys, Library and Archives Canada/PA-044329",http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-04T17%3A00%3A07Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3368516&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 7,Totem Poles,Karen Neoh/Flickr/ CC BY 2.0 ,https://flic.kr/p/9Kr7ad,https://creativecommons.org/licenses/by/2.0/
Module 7,Totem Pole,James Criland/Flickr/ CC BY 2.0,https://flic.kr/p/7jGopu,https://creativecommons.org/licenses/by/2.0/
Module 7,Raven and Wedgie ,Frankzed/Flickr/ CC BY 2.0,https://flic.kr/p/ceBqy9,https://creativecommons.org/licenses/by/2.0/
Module 7,Skidegate Indian Village of the Haida tribe in the Queen Charlotte Islands,George M. Dawson/Library and Archives Canada/PA-037756,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-03-31T20%3A20%3A05Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3368507&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 7,Indian Potlach - Vancouver Indians,Library and Archives Canada / e008303330,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-04T17%3A11%3A46Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3247398&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng#,Copyright: Expired
Module 7,Haida Canoes Arriving ,Susan Clarke/Flickr/ CC BY 2.0 ,https://flic.kr/p/7AjHsL,https://creativecommons.org/licenses/by/2.0/
Module 7,Waterfront,Karen Noah/Flickr/ CC BY 2.0 ,https://flic.kr/p/9Koh4n,https://creativecommons.org/licenses/by/2.0/
Module 7,Haida Heritage Centre,Susan Clarke/Flickr/ CC BY 2.0 ,https://flic.kr/p/7AfSJa,https://creativecommons.org/licenses/by/2.0/
Module 7,"Big Bear's (Cree) Camp, Maple Creek, Saskatchewan. June 6, 1883",G.M. Dawson/Library and Archives Canada/PA-050746,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-09T22%3A09%3A51Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3368450&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 7,Cree Tipis,Edward S. Curtis/Library and Archives Canada/PA-039701,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-09T22%3A05%3A16Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3550024&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng  ,Copyright: Expired
Module 7,"Indian Camp, near Carlton, Saskatchewan","Charles Horetzky, Saskatchewan, Peace River, Rocky Mountains and Northern British Columbia views/ Library and Archives Canada/ C-080069",http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-04T17%3A07%3A39Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3366953&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 7,"Cree Indian mother and two children clothed in buckskin parkas trimmed with bear fur, Lac la Ronge",National Film Board of Canada/ Still Photography Division/ Library and Archives Canada,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-03-31T21%3A47%3A12Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=4295779&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 7,"Group of Cree women and children standing in the snow and smiling at the photographer, Chisasibi, Quebec",Bud Glunz / National Film Board of Canada. Photothèque / Library and Archives Canada / PA-115408,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-09T22%3A02%3A09Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3366919&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 7,Cree Indians,Charles W. Brown/ Library and Archives Canada/ C-005101 ,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-09T22%3A18%3A54Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3368419&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 7,A group consisting of Cree men and children,Department of the Interior photographic records (Ontario)/ Library Archives Canada/ PA-043587 ,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-09T21%3A58%3A40Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3368448&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
